date,postal_code,latitude,longitude,healthy,sick_guess_no_corona,sick_guess_corona,sick_corona_confirmed,recovered_confirmed,recovered_not_confirmed
2020-03-31,1012,46.5263,6.6569,54,4,2,0,0,3
2020-03-31,1097,46.4933,6.7357,5,0,2,0,0,0
2020-03-31,1009,46.5092,6.662,60,1,8,1,0,4
2020-03-31,1030,46.5532,6.5511,32,0,2,0,0,4
2020-03-31,6612,46.1549,8.7679,2,0,0,0,0,0
2020-03-31,1024,46.5261,6.562,31,1,2,0,0,5
2020-03-31,1066,46.546,6.6737,33,0,4,0,0,1
2020-03-31,1005,46.5199,6.6425,82,5,7,0,0,1
2020-03-31,1092,46.5201,6.6804,21,0,3,2,0,1
2020-03-31,1018,46.5387,6.6286,67,3,3,0,0,2
2020-03-31,1630,46.6203,7.0585,23,0,1,0,0,0
2020-03-31,1615,46.5218,6.8501,2,0,0,0,0,0
2020-03-31,1110,46.5107,6.5,33,1,2,0,0,3
2020-03-31,1136,46.5291,6.4426,3,0,0,0,0,0
2020-03-31,1201,46.2099,6.1442,29,2,4,0,0,0
2020-03-31,1213,46.1856,6.1091,31,2,4,0,0,0
2020-03-31,1907,46.1453,7.1808,8,0,0,0,0,1
2020-03-31,1004,46.5285,6.6187,141,3,15,2,0,12
2020-03-31,1006,46.5108,6.6371,71,1,8,1,0,6
2020-03-31,1010,46.5361,6.6589,50,4,3,1,0,3
2020-03-31,1197,46.3945,6.2499,5,1,0,0,0,0
2020-03-31,2068,47.0136,6.9717,6,0,0,0,0,0
2020-03-31,1164,46.4702,6.4212,1,0,0,0,0,0
2020-03-31,1205,46.1952,6.1436,60,2,2,0,0,1
2020-03-31,1814,46.4536,6.857,21,1,0,0,0,1
2020-03-31,1204,46.2017,6.1447,6,0,1,0,0,1
2020-03-31,1470,46.8285,6.8386,8,0,1,0,0,0
2020-03-31,1806,46.4714,6.884,6,0,2,0,0,0
2020-03-31,1234,46.1723,6.1547,7,0,0,0,0,0
2020-03-31,1053,46.591,6.6418,24,0,2,1,0,3
2020-03-31,2012,46.9778,6.8772,3,0,0,0,0,0
2020-03-31,1091,46.4955,6.7185,17,0,0,1,0,1
2020-03-31,1700,46.8062,7.1628,47,3,3,0,0,1
2020-03-31,1162,46.4813,6.4582,12,0,0,0,0,0
2020-03-31,2300,47.1103,6.8545,20,1,0,0,0,1
2020-03-31,1565,46.8826,6.9619,3,0,0,0,0,0
2020-03-31,1976,46.2439,7.2906,1,0,2,0,0,0
2020-03-31,1081,46.5842,6.7482,2,0,0,0,0,0
2020-03-31,1042,46.6201,6.5991,13,2,0,0,0,1
2020-03-31,2000,46.992,6.9264,20,0,2,0,0,3
2020-03-31,1055,46.6018,6.6807,8,0,3,0,0,1
2020-03-31,1950,46.2334,7.362,22,2,2,0,0,0
2020-03-31,1094,46.506,6.6723,9,0,1,0,0,0
2020-03-31,3422,47.0837,7.579,1,0,0,0,0,0
2020-03-31,1618,46.5288,6.9011,9,0,0,0,0,2
2020-03-31,2035,46.9856,6.8769,1,0,0,0,0,0
2020-03-31,1417,46.7289,6.6406,4,0,0,0,0,0
2020-03-31,1037,46.6001,6.6119,8,0,0,0,0,0
2020-03-31,1052,46.5568,6.6361,32,1,6,1,0,1
2020-03-31,1663,46.578,7.0696,4,0,0,0,0,0
2020-03-31,1090,46.5167,6.7027,12,0,1,0,0,1
2020-03-31,1054,46.5912,6.6266,9,0,1,0,0,0
2020-03-31,1023,46.5562,6.5788,19,0,0,0,0,1
2020-03-31,2013,46.9663,6.862,7,1,0,0,0,0
2020-03-31,1000,46.5535,6.687,9,0,1,0,0,1
2020-03-31,1003,46.52,6.63,49,2,3,1,0,2
2020-03-31,1874,46.1783,6.8703,3,0,0,0,0,0
2020-03-31,1568,46.9179,6.9555,1,0,0,0,0,2
2020-03-31,1206,46.1872,6.1588,23,1,2,1,0,1
2020-03-31,1096,46.4912,6.72,9,0,0,0,0,0
2020-03-31,1020,46.5368,6.5907,39,1,6,0,0,3
2020-03-31,1095,46.5027,6.6864,34,0,4,0,0,0
2020-03-31,1800,46.4591,6.8482,35,3,0,0,0,1
2020-03-31,1122,46.5556,6.5116,1,0,0,0,0,0
2020-03-31,1652,46.6252,7.1108,3,0,0,0,0,0
2020-03-31,1260,46.3808,6.238,38,1,3,0,0,0
2020-03-31,1043,46.6555,6.6709,3,0,0,0,0,0
2020-03-31,1224,46.1977,6.1886,10,0,3,0,0,2
2020-03-31,1613,46.5497,6.871,5,0,0,0,0,0
2020-03-31,1202,46.2214,6.1367,34,6,1,0,0,3
2020-03-31,2017,46.9514,6.8371,6,0,0,0,0,0
2020-03-31,8004,47.378,8.5234,10,0,2,0,0,4
2020-03-31,1072,46.5412,6.7698,4,0,1,0,0,1
2020-03-31,2942,47.4273,7.1287,1,0,0,0,0,0
2020-03-31,1007,46.5178,6.6086,82,2,9,1,0,4
2020-03-31,1022,46.5358,6.5763,20,2,0,0,0,3
2020-03-31,3960,46.288,7.5264,7,0,0,0,0,1
2020-03-31,2902,47.403,7.0811,1,0,0,0,0,0
2020-03-31,1008,46.5436,6.6027,50,1,4,0,0,2
2020-03-31,1027,46.5265,6.5209,5,0,0,0,0,0
2020-03-31,1041,46.6404,6.6864,7,0,1,1,0,0
2020-03-31,1196,46.4237,6.2652,13,0,0,0,0,0
2020-03-31,1226,46.1883,6.1987,13,2,1,0,0,1
2020-03-31,1093,46.5149,6.6862,10,1,0,0,0,1
2020-03-31,1026,46.5281,6.5407,13,0,1,0,0,0
2020-03-31,3006,46.9458,7.4713,4,0,0,0,0,0
2020-03-31,1422,46.8083,6.6436,6,0,1,0,0,0
2020-03-31,1844,46.3963,6.9252,9,0,0,0,0,0
2020-03-31,1373,46.7014,6.5705,15,0,0,0,0,2
2020-03-31,1170,46.4967,6.3921,4,0,1,1,0,1
2020-03-31,1400,46.781,6.6586,65,4,2,0,0,5
2020-03-31,1936,46.0941,7.2196,2,0,3,1,0,3
2020-03-31,1323,46.6935,6.4614,2,1,0,0,0,0
2020-03-31,1290,46.2989,6.1495,10,0,2,1,0,2
2020-03-31,1033,46.5849,6.605,14,0,1,0,0,0
2020-03-31,1893,46.2802,6.9258,2,0,0,0,0,0
2020-03-31,1752,46.791,7.116,13,0,2,0,0,0
2020-03-31,1214,46.2153,6.0865,2,0,0,0,0,1
2020-03-31,1441,46.7989,6.6089,1,0,0,0,0,0
2020-03-31,1284,46.1497,5.9713,3,0,1,0,0,0
2020-03-31,1350,46.7246,6.533,8,1,3,0,0,0
2020-03-31,1112,46.526,6.4986,1,0,0,1,0,0
2020-03-31,6872,45.8759,8.9928,1,0,0,0,0,0
2020-03-31,1233,46.1737,6.0697,15,1,1,0,0,2
2020-03-31,1247,46.2762,6.2229,5,0,0,0,0,0
2020-03-31,1974,46.2723,7.3835,3,0,0,0,0,0
2020-03-31,1203,46.2086,6.1236,57,2,3,1,0,1
2020-03-31,1885,46.3013,7.0435,1,0,0,0,0,0
2020-03-31,1820,46.4261,6.9216,17,2,1,0,0,3
2020-03-31,1252,46.2466,6.2342,1,0,0,0,0,0
2020-03-31,1208,46.1994,6.1659,22,0,3,0,0,0
2020-03-31,1125,46.5285,6.479,1,0,0,1,0,0
2020-03-31,1675,46.6148,6.8471,2,0,0,0,0,0
2020-03-31,1025,46.509,6.56,17,0,2,1,0,1
2020-03-31,1217,46.2283,6.0707,22,4,3,0,0,0
2020-03-31,1207,46.2054,6.1631,20,1,4,0,0,0
2020-03-31,1225,46.1937,6.1919,7,0,0,0,0,0
2020-03-31,1523,46.7599,6.8896,4,0,0,0,0,0
2020-03-31,1269,46.4621,6.2315,2,0,0,0,0,1
2020-03-31,3280,46.9224,7.1065,0,0,2,0,0,0
2020-03-31,1430,46.808,6.5886,2,0,0,0,0,0
2020-03-31,1934,46.0727,7.2165,0,0,0,1,0,1
2020-03-31,1634,46.6964,7.138,1,0,0,0,0,0
2020-03-31,1374,46.7038,6.6,3,0,0,0,0,0
2020-03-31,1031,46.5775,6.5523,5,0,0,0,0,0
2020-03-31,1080,46.5732,6.7515,2,1,0,0,0,0
2020-03-31,6318,47.1003,8.5148,1,0,0,0,0,0
2020-03-31,1227,46.1892,6.1363,25,3,2,0,0,0
2020-03-31,1223,46.2163,6.1812,6,1,1,0,0,0
2020-03-31,8102,47.4084,8.4624,1,0,0,0,0,0
2020-03-31,1773,46.837,7.0219,2,0,0,0,0,0
2020-03-31,1028,46.5184,6.5269,15,1,1,0,0,2
2020-03-31,1426,46.8485,6.7138,1,0,0,0,0,0
2020-03-31,1296,46.3159,6.1931,3,0,1,0,0,0
2020-03-31,1625,46.6371,6.9822,5,0,0,0,0,1
2020-03-31,1315,46.6595,6.5145,6,0,0,0,0,0
2020-03-31,1134,46.5235,6.474,7,0,0,0,0,0
2020-03-31,1696,46.7078,7.0531,1,0,0,0,0,0
2020-03-31,1803,46.4768,6.827,11,0,0,0,0,0
2020-03-31,1637,46.6191,7.1628,13,0,0,0,0,0
2020-03-31,1921,46.0866,7.054,0,0,1,0,0,0
2020-03-31,1040,46.6442,6.6226,21,1,0,0,0,0
2020-03-31,1530,46.8207,6.9378,11,2,0,0,0,1
2020-03-31,1870,46.2299,6.8811,12,0,1,1,0,0
2020-03-31,1802,46.4723,6.8328,8,0,1,0,0,0
2020-03-31,1997,46.1682,7.3052,1,0,1,0,0,0
2020-03-31,1443,46.7877,6.581,2,0,1,0,0,0
2020-03-31,1253,46.2212,6.2026,2,0,0,0,0,0
2020-03-31,1804,46.4702,6.8417,3,0,0,0,0,0
2020-03-31,1113,46.5456,6.4876,1,0,0,0,0,0
2020-03-31,8134,47.3128,8.5223,2,0,0,0,0,0
2020-03-31,1098,46.4911,6.7482,3,0,0,0,0,0
2020-03-31,6982,45.9977,8.8977,1,0,0,0,0,0
2020-03-31,1815,46.442,6.8925,12,0,1,0,0,0
2020-03-31,1638,46.6279,7.0878,3,0,0,0,0,0
2020-03-31,1610,46.5701,6.8165,8,0,0,0,0,1
2020-03-31,1543,46.8719,6.9305,0,0,0,0,0,1
2020-03-31,1410,46.7111,6.7608,5,1,1,0,0,0
2020-03-31,1412,46.7408,6.6619,8,0,1,0,0,0
2020-03-31,2900,47.4159,7.0768,9,0,0,0,0,0
2020-03-31,1822,46.4426,6.9136,6,0,0,0,0,0
2020-03-31,1337,46.7129,6.38,3,0,0,0,0,0
2020-03-31,1180,46.4625,6.3256,7,1,1,0,0,1
2020-03-31,1670,46.6376,6.8446,3,0,0,0,0,0
2020-03-31,1938,46.0267,7.1191,1,0,0,0,0,0
2020-03-31,8037,47.3985,8.5243,3,0,0,0,0,1
2020-03-31,1257,46.1452,6.1364,1,0,0,0,0,0
2020-03-31,1633,46.6573,7.0674,3,0,0,0,0,0
2020-03-31,1880,46.2624,7.0506,6,0,0,0,0,0
2020-03-31,1971,46.2534,7.3798,1,0,0,0,0,1
2020-03-31,1070,46.4939,6.7661,4,0,1,0,0,3
2020-03-31,1955,46.2048,7.2211,2,0,0,0,0,1
2020-03-31,1423,46.8494,6.6394,0,0,0,0,0,1
2020-03-31,1115,46.5742,6.4812,2,0,0,0,0,0
2020-03-31,8005,47.3868,8.5207,9,0,0,0,0,1
2020-03-31,1222,46.2375,6.1997,15,0,0,0,0,1
2020-03-31,2603,47.1949,7.2495,1,0,0,0,0,0
2020-03-31,1669,46.5062,7.0515,5,1,0,0,0,0
2020-03-31,1845,46.3809,6.8986,2,0,0,0,0,0
2020-03-31,1354,46.7327,6.5106,1,0,0,0,0,0
2020-03-31,1303,46.6003,6.5388,9,0,0,0,0,0
2020-03-31,1627,46.6238,6.9932,1,0,0,0,0,0
