date,locator,latitude,longitude,healthy,sick_guess_no_corona,sick_guess_corona,sick_corona_confirmed,recovered_confirmed,recovered_not_confirmed
2020-03-26,1441,46.7989,6.6089,1,0,0,0,0,0
2020-03-26,1284,46.1497,5.9713,3,0,1,0,0,0
2020-03-26,1350,46.7246,6.533,6,1,3,0,0,0
2020-03-26,1112,46.526,6.4986,1,0,0,0,0,0
2020-03-26,6872,45.8759,8.9928,1,0,0,0,0,0
2020-03-26,1233,46.1737,6.0697,14,1,1,0,0,2
2020-03-26,1247,46.2762,6.2229,5,0,0,0,0,0
2020-03-26,1974,46.2723,7.3835,3,0,0,0,0,0
2020-03-26,1203,46.2086,6.1236,48,2,3,1,0,1
2020-03-26,1885,46.3013,7.0435,1,0,0,0,0,0
2020-03-26,1820,46.4261,6.9216,15,2,1,0,0,0
2020-03-26,1252,46.2466,6.2342,1,0,0,0,0,0
2020-03-26,1208,46.1994,6.1659,19,0,3,0,0,0
2020-03-26,1125,46.5285,6.479,1,0,0,1,0,0
2020-03-26,1675,46.6148,6.8471,2,0,0,0,0,0
2020-03-26,1025,46.509,6.56,17,0,2,1,0,1
2020-03-26,1217,46.2283,6.0707,17,4,2,0,0,0
2020-03-26,1207,46.2054,6.1631,19,1,3,0,0,0
2020-03-26,1225,46.1937,6.1919,7,0,0,0,0,0
2020-03-26,1523,46.7599,6.8896,4,0,0,0,0,0
2020-03-26,1269,46.4621,6.2315,1,0,0,0,0,0
2020-03-26,3280,46.9224,7.1065,0,0,1,0,0,0
2020-03-26,1430,46.808,6.5886,2,0,0,0,0,0
2020-03-26,1934,46.0727,7.2165,0,0,0,1,0,0
2020-03-26,1634,46.6964,7.138,1,0,0,0,0,0
2020-03-26,1374,46.7038,6.6,1,0,0,0,0,0
2020-03-26,1031,46.5775,6.5523,3,0,0,0,0,0
2020-03-26,1080,46.5732,6.7515,2,1,0,0,0,0
2020-03-26,6318,47.1003,8.5148,1,0,0,0,0,0
2020-03-26,1227,46.1892,6.1363,21,3,2,0,0,0
2020-03-26,1223,46.2163,6.1812,6,1,1,0,0,0
2020-03-26,8102,47.4084,8.4624,1,0,0,0,0,0
